,NRM_REGION,CATCHMENT,MMP_SITE_NAME,DEPTH,SITE_NO,LATITUDE,LONGITUDE,P_CODE,VISIT_NO,YEAR_CODE,SAMPLE_DATE,GROUP_CODE,COVER,ALGAE_COVER,SOFT_COVER,HARD_COVER
328,Burdekin,Burdekin,Lady Elliot,5,1,-18.680167,146.333033,IN,16,2020,2020-04-04,Algae,16.63,16.63,0.0,57.63
332,Burdekin,Burdekin,Lady Elliot,5,2,-18.68235,146.332067,IN,16,2020,2020-04-04,Algae,33.5,33.5,0.38,20.75
336,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,1,2005,2005-05-17,Algae,71.0,71.0,0.0,17.13
340,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,1,2005,2005-05-17,Algae,77.0,77.0,1.13,20.63
344,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,2,2006,2006-08-22,Algae,73.38,73.38,0.0,16.07
348,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,2,2006,2006-08-22,Algae,86.25,86.25,0.38,12.75
352,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,3,2007,2007-06-06,Algae,65.38,65.38,0.25,15.13
356,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,3,2007,2007-06-06,Algae,73.63,73.63,0.88,24.5
360,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,4,2008,2008-06-03,Algae,62.75,62.75,0.38,16.5
364,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,4,2008,2008-06-03,Algae,78.63,78.63,0.0,21.0
368,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,5,2009,2009-07-02,Algae,68.63,68.63,0.25,14.88
372,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,5,2009,2009-07-02,Algae,77.38,77.38,0.25,21.75
376,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,6,2010,2010-07-06,Algae,65.13,65.13,0.0,12.63
380,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,6,2010,2010-07-06,Algae,83.25,83.25,0.38,15.38
384,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,7,2011,2011-06-02,Algae,57.75,57.75,0.13,14.5
388,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,7,2011,2011-06-02,Algae,84.88,84.88,0.0,8.0
392,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,8,2012,2012-06-23,Algae,64.38,64.38,0.13,12.13
396,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,8,2012,2012-06-23,Algae,87.12,87.12,0.21,7.28
400,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,9,2013,2013-06-03,Algae,62.13,62.13,0.25,15.0
404,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,9,2013,2013-06-03,Algae,86.5,86.5,0.25,7.88
408,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,10,2014,2014-06-28,Algae,58.5,58.5,0.13,18.0
412,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,10,2014,2014-06-28,Algae,84.0,84.0,0.0,11.13
416,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,11,2015,2015-05-22,Algae,64.63,64.63,0.0,15.75
420,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,11,2015,2015-05-22,Algae,84.38,84.38,0.13,12.0
424,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,12,2016,2016-06-08,Algae,51.25,51.25,1.13,26.25
428,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,12,2016,2016-06-08,Algae,84.5,84.5,0.0,10.75
432,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,13,2017,2017-05-01,Algae,56.5,56.5,0.88,21.38
436,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,13,2017,2017-05-01,Algae,87.13,87.13,0.25,10.0
440,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,15,2019,2019-05-07,Algae,50.88,50.88,0.63,28.38
444,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,15,2019,2019-05-07,Algae,74.63,74.63,0.0,17.5
448,Burdekin,Burdekin,Magnetic,2,1,-19.154833,146.868517,IN,16,2020,2020-04-06,Algae,58.88,58.88,0.0,24.38
452,Burdekin,Burdekin,Magnetic,2,2,-19.156217,146.86215,IN,16,2020,2020-04-06,Algae,85.25,85.25,0.13,11.38
456,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,1,2005,2005-05-17,Algae,73.25,73.25,0.38,12.0
460,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,1,2005,2005-05-17,Algae,59.75,59.75,0.13,29.88
464,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,2,2006,2006-08-22,Algae,69.5,69.5,1.25,12.38
468,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,2,2006,2006-08-22,Algae,64.07,64.07,0.38,32.17
472,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,3,2007,2007-06-06,Algae,73.25,73.25,0.75,16.0
476,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,3,2007,2007-06-06,Algae,56.75,56.75,0.88,36.75
480,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,4,2008,2008-06-03,Algae,71.13,71.13,0.38,12.5
484,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,4,2008,2008-06-03,Algae,51.82,51.82,1.75,37.3
488,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,5,2009,2009-07-02,Algae,70.38,70.38,0.5,13.63
492,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,5,2009,2009-07-02,Algae,53.75,53.75,0.75,32.63
496,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,6,2010,2010-07-06,Algae,57.88,57.88,0.88,18.13
500,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,6,2010,2010-07-06,Algae,42.75,42.75,0.75,37.0
504,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,7,2011,2011-06-02,Algae,52.38,52.38,0.75,13.38
508,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,7,2011,2011-06-02,Algae,43.5,43.5,0.75,35.13
512,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,8,2012,2012-06-23,Algae,66.59,66.59,0.75,8.38
516,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,8,2012,2012-06-23,Algae,45.0,45.0,0.13,35.38
520,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,9,2013,2013-06-03,Algae,57.88,57.88,0.5,10.5
524,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,9,2013,2013-06-03,Algae,43.63,43.63,1.0,36.13
528,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,10,2014,2014-06-28,Algae,43.88,43.88,1.63,10.13
532,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,10,2014,2014-06-28,Algae,43.67,43.67,1.63,36.06
536,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,11,2015,2015-05-22,Algae,64.88,64.88,2.13,11.25
540,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,11,2015,2015-05-22,Algae,44.63,44.63,0.88,38.13
544,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,12,2016,2016-06-08,Algae,52.5,52.5,4.13,16.25
548,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,12,2016,2016-06-08,Algae,45.63,45.63,1.0,38.0
552,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,13,2017,2017-05-01,Algae,50.0,50.0,2.38,15.63
556,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,13,2017,2017-05-01,Algae,41.38,41.38,1.0,40.0
560,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,15,2019,2019-05-07,Algae,48.88,48.88,2.75,18.38
564,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,15,2019,2019-05-07,Algae,27.75,27.75,1.5,52.13
568,Burdekin,Burdekin,Magnetic,5,1,-19.15495,146.868483,IN,16,2020,2020-04-06,Algae,48.75,48.75,2.0,15.13
572,Burdekin,Burdekin,Magnetic,5,2,-19.156783,146.8622,IN,16,2020,2020-04-06,Algae,36.25,36.25,2.13,46.5
576,Burdekin,Burdekin,Middle Rf,2,1,-19.19445,146.8102,IN,1,2005,2005-05-18,Algae,19.63,19.63,10.13,52.75
580,Burdekin,Burdekin,Middle Rf,2,2,-19.195967,146.813267,IN,1,2005,2005-05-18,Algae,31.5,31.5,3.75,45.5
584,Burdekin,Burdekin,Middle Rf,2,1,-19.19445,146.8102,IN,2,2006,2006-08-22,Algae,30.32,30.32,3.41,51.94
588,Burdekin,Burdekin,Middle Rf,2,2,-19.195967,146.813267,IN,2,2006,2006-08-22,Algae,35.13,35.13,2.0,48.63
592,Burdekin,Burdekin,Middle Rf,2,1,-19.19445,146.8102,IN,3,2007,2007-06-13,Algae,18.16,18.16,6.13,58.8
596,Burdekin,Burdekin,Middle Rf,2,2,-19.195967,146.813267,IN,3,2007,2007-06-13,Algae,31.5,31.5,3.63,48.0
600,Burdekin,Burdekin,Middle Rf,2,1,-19.19445,146.8102,IN,5,2009,2009-05-24,Algae,27.77,27.77,2.13,47.04
604,Burdekin,Burdekin,Middle Rf,2,2,-19.195967,146.813267,IN,5,2009,2009-05-24,Algae,35.25,35.25,0.13,45.0
608,Burdekin,Burdekin,Middle Rf,2,1,-19.19445,146.8102,IN,7,2011,2011-06-03,Algae,26.63,26.63,1.5,52.75
612,Burdekin,Burdekin,Middle Rf,2,2,-19.195967,146.813267,IN,7,2011,2011-06-03,Algae,47.13,47.13,0.0,38.38
616,Burdekin,Burdekin,Middle Rf,2,1,-19.19445,146.8102,IN,9,2013,2013-06-03,Algae,13.63,13.63,6.0,61.38
620,Burdekin,Burdekin,Middle Rf,2,2,-19.195967,146.813267,IN,9,2013,2013-06-02,Algae,32.75,32.75,5.0,43.75
624,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,1,2005,2005-09-07,Algae,40.63,40.63,47.0,8.38
628,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,1,2005,2005-09-07,Algae,46.25,46.25,46.75,4.75
632,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,2,2006,2006-08-25,Algae,53.83,53.83,35.53,5.26
636,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,2,2006,2006-08-25,Algae,50.0,50.0,39.0,5.63
640,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,4,2008,2008-07-03,Algae,55.38,55.38,32.88,4.13
644,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,4,2008,2008-07-03,Algae,42.38,42.38,47.0,8.63
648,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,6,2010,2010-06-01,Algae,46.25,46.25,34.38,8.0
652,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,6,2010,2010-06-01,Algae,39.25,39.25,40.13,11.38
656,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,7,2011,2011-06-06,Algae,77.75,77.75,0.5,1.38
660,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,7,2011,2011-06-06,Algae,65.75,65.75,2.13,2.25
664,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,8,2012,2012-06-30,Algae,81.0,81.0,0.13,3.5
668,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,8,2012,2012-06-30,Algae,69.63,69.63,1.5,2.88
672,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,10,2014,2014-05-24,Algae,86.5,86.5,0.5,3.88
676,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,10,2014,2014-05-24,Algae,81.47,81.47,2.51,1.38
680,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,12,2016,2016-05-09,Algae,66.88,66.88,1.0,23.13
684,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,12,2016,2016-05-09,Algae,83.88,83.88,3.5,6.5
688,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,14,2018,2018-05-11,Algae,45.25,45.25,1.63,42.63
692,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,14,2018,2018-05-11,Algae,79.75,79.75,3.5,9.0
696,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,15,2019,2019-06-19,Algae,33.13,33.13,0.25,58.13
700,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,15,2019,2019-06-19,Algae,67.0,67.0,2.5,20.5
704,Burdekin,Burdekin,Palms East,2,1,-18.571783,146.494683,IN,16,2020,2020-04-03,Algae,29.5,29.5,1.63,58.38
708,Burdekin,Burdekin,Palms East,2,2,-18.574333,146.49625,IN,16,2020,2020-04-03,Algae,64.5,64.5,4.13,23.88
712,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,1,2005,2005-09-07,Algae,60.75,60.75,29.38,2.25
716,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,1,2005,2005-09-10,Algae,44.25,44.25,40.38,13.25
720,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,2,2006,2006-08-25,Algae,60.65,60.65,14.78,3.25
724,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,2,2006,2006-08-25,Algae,49.06,49.06,41.41,7.02
728,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,4,2008,2008-07-03,Algae,72.75,72.75,15.63,3.0
732,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,4,2008,2008-07-03,Algae,42.5,42.5,43.0,13.75
736,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,6,2010,2010-06-01,Algae,55.63,55.63,16.75,4.88
740,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,6,2010,2010-06-01,Algae,44.75,44.75,36.13,14.75
744,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,7,2011,2011-06-06,Algae,69.38,69.38,0.0,2.63
748,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,7,2011,2011-06-06,Algae,82.38,82.38,0.13,1.0
752,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,8,2012,2012-06-30,Algae,61.75,61.75,0.63,3.63
756,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,8,2012,2012-06-30,Algae,87.38,87.38,0.0,0.5
760,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,10,2014,2014-05-24,Algae,66.13,66.13,0.88,4.0
764,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,10,2014,2014-05-24,Algae,87.25,87.25,0.88,1.63
768,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,12,2016,2016-05-09,Algae,62.38,62.38,2.38,12.88
772,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,12,2016,2016-05-09,Algae,81.0,81.0,2.63,8.88
776,Burdekin,Burdekin,Palms East,5,1,-18.571733,146.495067,IN,14,2018,2018-05-11,Algae,45.25,45.25,3.88,29.75
780,Burdekin,Burdekin,Palms East,5,2,-18.57445,146.49715,IN,14,2018,2018-05-11,Algae,60.88,60.88,3.88,27.75
